player,role,sold_price_cr,2023_squad,team,base_price_cr,status
Spencer Johnson,BOWLER,10.0,Not Mentioned,Gujrat Titans,0.5,sold
Shahrukh Khan,ALL-ROUNDER,7.4,PBKS,Gujrat Titans,0.4,sold
Umesh Yadav,BOWLER,5.8,KKR,Gujrat Titans,2.0,sold
Robin Minz,WICKETKEEPER,3.6,Not Mentioned,Gujrat Titans,0.2,sold
Sushant Mishra,BOWLER,2.2,Not Mentioned,Gujrat Titans,0.2,sold
Kartik Tyagi,BOWLER,0.6,SRH,Gujrat Titans,0.2,sold
Azmatullah Omarzai,ALL-ROUNDER,0.5,Not Mentioned,Gujrat Titans,0.5,sold
Manav Suthar,BOWLER,0.2,Not Mentioned,Gujrat Titans,0.2,sold
David Miller,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Shubman Gill,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Matthew Wade,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Wriddhiman Saha,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Kane Williamson,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Abhinav Manohar,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
B. Sai Sudharsan,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Darshan Nalkande,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Vijay Shankar,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Jayant Yadav,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Rahul Tewatia,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Mohammed Shami,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Noor Ahmad,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
R. Sai Kishore,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Rashid Khan,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Joshua Little,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Mohit Sharma,UNKNOWN,0.0,Not Mentioned,Gujrat Titans,0.0,unsold
Daryl Mitchell,ALL-ROUNDER,14.0,Not Mentioned,Chennai Super Kings,1.0,sold
Sameer Rizvi,BATTER,8.4,Not Mentioned,Chennai Super Kings,0.2,sold
Shardul Thakur,ALL-ROUNDER,4.0,KKR,Chennai Super Kings,2.0,sold
Mustafizur Rahman,BOWLER,2.0,DC,Chennai Super Kings,2.0,sold
Rachin Ravindra,ALL-ROUNDER,1.8,Not Mentioned,Chennai Super Kings,0.5,sold
Avanish Rao Aravelly,WICKETKEEPER,0.2,Not Mentioned,Chennai Super Kings,0.2,sold
MS Dhoni,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Moeen Ali,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Deepak Chahar,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Devon Conway,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Tushar Deshpande,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Shivam Dube,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Ruturaj Gaikwad,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Rajvardhan Hangargekar,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Ravindra Jadeja,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Ajay Mandal,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Mukesh Choudhary,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Matheesha Pathirana,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Ajinkya Rahane,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Shaik Rasheed,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Mitchell Santner,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Simarjeet Singh,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Nishant Sindhu,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Prashant Solanki,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Maheesh Theekshana,UNKNOWN,0.0,Not Mentioned,Chennai Super Kings,0.0,unsold
Kumar Kushagra,WICKETKEEPER,7.2,Not Mentioned,Delhi Capitals,0.2,sold
Jhye Richardson,BOWLER,5.0,Not Mentioned,Delhi Capitals,1.5,sold
Harry Brook,BATTER,4.0,SRH,Delhi Capitals,2.0,sold
Sumit Kumar,ALL-ROUNDER,1.0,Not Mentioned,Delhi Capitals,0.2,sold
Shai Hope,WICKETKEEPER,0.75,Not Mentioned,Delhi Capitals,0.75,sold
Tristan Stubbs,WICKETKEEPER,0.5,MI,Delhi Capitals,0.5,sold
Ricky Bhui,WICKETKEEPER,0.2,Not Mentioned,Delhi Capitals,0.2,sold
Rasikh Dar,BOWLER,0.2,Not Mentioned,Delhi Capitals,0.2,sold
Swastik Chhikara,BATTER,0.2,Not Mentioned,Delhi Capitals,0.2,sold
Rishabh Pant,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Pravin Dubey,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
David Warner,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Vicky Ostwal,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Prithvi Shaw,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Anrich Nortje,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Abishek Porel,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Kuldeep Yadav,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Axar Patel,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Lungi Ngidi,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Lalit Yadav,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Khaleel Ahmed,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Mitchell Marsh,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Ishant Sharma,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Yash Dhull,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Mukesh Kumar,UNKNOWN,0.0,Not Mentioned,Delhi Capitals,0.0,unsold
Mitchell Starc,BOWLER,24.75,Not Mentioned,Kolkata Night Riders,2.0,sold
Mujeeb Rahman,BOWLER,2.0,Not Mentioned,Kolkata Night Riders,2.0,sold
Sherfane Rutherford,BATTER,1.5,Not Mentioned,Kolkata Night Riders,1.5,sold
Gus Atkinson,BOWLER,1.0,Not Mentioned,Kolkata Night Riders,1.0,sold
Manish Pandey,BATTER,0.5,DC,Kolkata Night Riders,0.5,sold
K.S. Bharat,WICKETKEEPER,0.5,GT,Kolkata Night Riders,0.5,sold
Chetan Sakariya,BOWLER,0.5,DC,Kolkata Night Riders,0.5,sold
Angkrish Raghuvanshi,BATTER,0.2,Not Mentioned,Kolkata Night Riders,0.2,sold
Ramandeep Singh,ALL-ROUNDER,0.2,MI,Kolkata Night Riders,0.2,sold
Sakib Hussain,BOWLER,0.2,Not Mentioned,Kolkata Night Riders,0.2,sold
Nitish Rana,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Rinku Singh,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Rahmanullah Gurbaz,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Shreyas Iyer,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Jason Roy,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Sunil Narine,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Suyash Sharma,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Anukul Roy,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Andre Russell,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Venkatesh Iyer,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Harshit Rana,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Vaibhav Arora,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Varun Chakaravarthy,UNKNOWN,0.0,Not Mentioned,Kolkata Night Riders,0.0,unsold
Harshal Patel,ALL-ROUNDER,11.75,RCB,Punjab Kings,2.0,sold
Rilee Rossouw,BATTER,8.0,DC,Punjab Kings,2.0,sold
Chris Woakes,ALL-ROUNDER,4.2,Not Mentioned,Punjab Kings,2.0,sold
Ashutosh Sharma,ALL-ROUNDER,0.2,Not Mentioned,Punjab Kings,0.2,sold
Vishwanath Pratap Singh,ALL-ROUNDER,0.2,Not Mentioned,Punjab Kings,0.2,sold
Shashank Singh,ALL-ROUNDER,0.2,Not Mentioned,Punjab Kings,0.2,sold
Tanay Thyagarajann,ALL-ROUNDER,0.2,Not Mentioned,Punjab Kings,0.2,sold
Prince Choudhary,BOWLER,0.2,Not Mentioned,Punjab Kings,0.2,sold
Shikhar Dhawan,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Liam Livingstone,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Jonny Bairstow,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Gurnoor Singh Brar,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Jitesh Sharma,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Shivam Singh,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Rahul Chahar,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Prabhsimran Singh,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Matthew Short,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Arshdeep Singh,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Harpreet Bhatia,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Harpreet Brar,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Atharva Taide,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Vidwath Kaverappa,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Rishi Dhawan,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Kagiso Rabada,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Sam Curran,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Nathan Ellis,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Sikandar Raza,UNKNOWN,0.0,Not Mentioned,Punjab Kings,0.0,unsold
Devdutt Padikkal,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Shivam Mavi,BOWLER,6.4,GT,Lucknow Super Giants,0.5,sold
M. Siddharth,BOWLER,2.4,Not Mentioned,Lucknow Super Giants,0.2,sold
David Willey,ALL-ROUNDER,2.0,RCB,Lucknow Super Giants,2.0,sold
Ashton Turner,BATTER,1.0,Not Mentioned,Lucknow Super Giants,1.0,sold
Mohd. Arshad Khan,ALL-ROUNDER,0.2,MI,Lucknow Super Giants,0.2,sold
Arshin Kulkarni,ALL-ROUNDER,0.2,Not Mentioned,Lucknow Super Giants,0.2,sold
KL Rahul,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Quinton de Kock,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Nicholas Pooran,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Ayush Badoni,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Kyle Mayers,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Marcus Stoinis,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Deepak Hooda,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Ravi Bishnoi,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Naveen-ul-Haq,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Krunal Pandya,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Yudhvir Singh,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Prerak Mankad,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Yash Thakur,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Amit Mishra,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Mark Wood,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Mayank Yadav,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Mohsin Khan,UNKNOWN,0.0,Not Mentioned,Lucknow Super Giants,0.0,unsold
Hardik Pandya,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Romario Shepherd,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Gerald Coetzee,ALL-ROUNDER,5.0,Not Mentioned,Mumbai Indians,2.0,sold
Nuwan Thushara,BOWLER,4.8,Not Mentioned,Mumbai Indians,0.5,sold
Mohammad Nabi,ALL-ROUNDER,1.5,Not Mentioned,Mumbai Indians,1.5,sold
Shreyas Gopal,BOWLER,0.2,Not Mentioned,Mumbai Indians,0.2,sold
Naman Dhir,ALL-ROUNDER,0.2,Not Mentioned,Mumbai Indians,0.2,sold
Anshul Kamboj,ALL-ROUNDER,0.2,Not Mentioned,Mumbai Indians,0.2,sold
Shivalik Sharma,ALL-ROUNDER,0.2,Not Mentioned,Mumbai Indians,0.2,sold
Dilshan Madushanka,BOWLER,4.6,Not Mentioned,Mumbai Indians,0.5,sold
Rohit Sharma,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Dewald Brevis,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Suryakumar Yadav,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Ishan Kishan,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Tilak Varma,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Tim David,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Vishnu Vinod,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Arjun Tendulkar,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Cameron Green,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Shams Mulani,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Nehal Wadhera,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Jasprit Bumrah,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Kumar Kartikeya,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Piyush Chawla,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Akash Madhwal,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Jason Behrendorff,UNKNOWN,0.0,Not Mentioned,Mumbai Indians,0.0,unsold
Mayank Dagar,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Cameron Green,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Alzarri Joseph,BOWLER,11.5,GT,Royal Challengers Banglore,1.0,sold
Yash Dayal,BOWLER,5.0,GT,Royal Challengers Banglore,0.2,sold
Lockie Ferguson,BOWLER,2.0,KKR,Royal Challengers Banglore,2.0,sold
Tom Curran,ALL-ROUNDER,1.5,Not Mentioned,Royal Challengers Banglore,1.5,sold
Saurav Chuahan,BATTER,0.2,Not Mentioned,Royal Challengers Banglore,0.2,sold
Swapnil Singh,ALL-ROUNDER,0.2,LSG,Royal Challengers Banglore,0.2,sold
Faf du Plessis,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Glenn Maxwell,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Virat Kohli,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Rajat Patidar,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Anuj Rawat,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Dinesh Karthik,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Suyash Prabhudessai,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Will Jacks,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Mahipal Lomror,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Karn Sharma,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Manoj Bhandage,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Vyshak Vijaykumar,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Akash Deep,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Mohammed Siraj,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Reece Topley,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Himanshu Sharma,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Rajan Kumar,UNKNOWN,0.0,Not Mentioned,Royal Challengers Banglore,0.0,unsold
Avesh Khan,UNKNOWN,0.0,Not Mentioned,Rajasthan Royals,0.0,unsold
Rovman Powell,BATTER,7.4,DC,Rajasthan Royals,1.0,sold
Shubham Dubey,BATTER,5.8,Not Mentioned,Rajasthan Royals,0.2,sold
